timeId,name,placeId,count
0,Uppland,1,9486
6,Uppland,1,369
8,Uppland,1,1977
15,Uppland,1,2432
25,Uppland,1,5811
31,Uppland,1,5259
33,Uppland,1,8
35,Uppland,1,18
37,Uppland,1,3774
39,Uppland,1,66
41,Uppland,1,47
43,Uppland,1,57061
48,Uppland,1,32223
49,Uppland,1,2
50,Uppland,1,6
52,Uppland,1,6965
53,Uppland,1,4754
55,Uppland,1,2
56,Uppland,1,107256
57,Uppland,1,22
58,Uppland,1,6
59,Uppland,1,6
60,Uppland,1,64203
61,Uppland,1,91
62,Uppland,1,157
63,Uppland,1,2785
64,Uppland,1,196
65,Uppland,1,558
66,Uppland,1,257
67,Uppland,1,493
68,Uppland,1,5276
69,Uppland,1,91
70,Uppland,1,1433
71,Uppland,1,734
72,Uppland,1,3298
73,Uppland,1,2138
74,Uppland,1,1420
75,Uppland,1,1067
76,Uppland,1,2909
77,Uppland,1,2056
78,Uppland,1,19444
79,Uppland,1,16726
80,Uppland,1,8702
81,Uppland,1,12072
82,Uppland,1,11654
83,Uppland,1,21210
84,Uppland,1,14418
85,Uppland,1,35554
86,Uppland,1,33223
87,Uppland,1,47014
88,Uppland,1,45859
89,Uppland,1,152851
90,Uppland,1,31000
91,Uppland,1,89312
0,Södermanland,2,25308
2,Södermanland,2,198
5,Södermanland,2,2119
6,Södermanland,2,5712
8,Södermanland,2,7343
15,Södermanland,2,4738
25,Södermanland,2,1395
31,Södermanland,2,8512
33,Södermanland,2,8
35,Södermanland,2,16
37,Södermanland,2,3170
39,Södermanland,2,37
41,Södermanland,2,191
43,Södermanland,2,16922
48,Södermanland,2,6916
52,Södermanland,2,4522
53,Södermanland,2,1386
56,Södermanland,2,1438
58,Södermanland,2,2
59,Södermanland,2,1
60,Södermanland,2,14701
61,Södermanland,2,95
62,Södermanland,2,86
63,Södermanland,2,176
64,Södermanland,2,86
65,Södermanland,2,272
66,Södermanland,2,132
67,Södermanland,2,207
68,Södermanland,2,2863
69,Södermanland,2,84
70,Södermanland,2,12149
71,Södermanland,2,479
72,Södermanland,2,731
73,Södermanland,2,312
74,Södermanland,2,576
75,Södermanland,2,575
76,Södermanland,2,1235
77,Södermanland,2,738
78,Södermanland,2,1620
79,Södermanland,2,3362
80,Södermanland,2,3355
81,Södermanland,2,1797
82,Södermanland,2,2808
83,Södermanland,2,5957
84,Södermanland,2,5420
85,Södermanland,2,2007
86,Södermanland,2,6618
87,Södermanland,2,8898
88,Södermanland,2,25356
89,Södermanland,2,54389
90,Södermanland,2,32891
91,Södermanland,2,72785
0,Östergötland,3,4079
2,Östergötland,3,1
6,Östergötland,3,1
8,Östergötland,3,1594
15,Östergötland,3,21613
25,Östergötland,3,1132
31,Östergötland,3,1169
33,Östergötland,3,2
35,Östergötland,3,1
37,Östergötland,3,622
43,Östergötland,3,14241
48,Östergötland,3,7233
49,Östergötland,3,15
52,Östergötland,3,925
53,Östergötland,3,761
56,Östergötland,3,2012
58,Östergötland,3,14
60,Östergötland,3,61146
61,Östergötland,3,75
62,Östergötland,3,108
63,Östergötland,3,3762
64,Östergötland,3,95
65,Östergötland,3,5359
66,Östergötland,3,172
67,Östergötland,3,168
68,Östergötland,3,2444
69,Östergötland,3,58
70,Östergötland,3,556
71,Östergötland,3,487
72,Östergötland,3,453
73,Östergötland,3,445
74,Östergötland,3,598
75,Östergötland,3,613
76,Östergötland,3,820
77,Östergötland,3,626
78,Östergötland,3,1127
79,Östergötland,3,5172
80,Östergötland,3,3721
81,Östergötland,3,10584
82,Östergötland,3,14761
83,Östergötland,3,24426
84,Östergötland,3,4811
85,Östergötland,3,9380
86,Östergötland,3,2645
87,Östergötland,3,14429
88,Östergötland,3,14366
89,Östergötland,3,16571
90,Östergötland,3,5786
91,Östergötland,3,16058
0,Västergötland,4,12692
6,Västergötland,4,79
8,Västergötland,4,2334
15,Västergötland,4,1116
25,Västergötland,4,787
31,Västergötland,4,1178
33,Västergötland,4,7
35,Västergötland,4,3
37,Västergötland,4,291
39,Västergötland,4,9
41,Västergötland,4,3
43,Västergötland,4,4992
48,Västergötland,4,1198
52,Västergötland,4,1310
53,Västergötland,4,18
56,Västergötland,4,134
58,Västergötland,4,5
59,Västergötland,4,2
60,Västergötland,4,11379
